20,20,20,20,20,20,39,39,39,39,39,39,39,39,39,39,39,39,31,31,31,31,31,31,31,31,31,31,31,31,44,44,44,44,44,44,44,44,44,44,44,44,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45,45,45,45,45,45,45,45,45,45,45
25,25,25,25,25,25,19,19,19,19,19,19,19,19,19,19,19,19,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33,40,40,40,40,41
33,33,33,33,33,33,33,33,40,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40
45,41,45,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40,40,40,41,40
25,25,25,25,25,25,25,25,25,25,25,19,19,19,19,19,19,19,19,19,19,19,19,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,08,08,08,08,08,08,08,08,08,08,08,08,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13
23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,21,21,21,21,21,21,21,21,21,21,21,21,01,01,01,01,01,12,12,12,12,12,12,12,12,12,10,09,08
20,20,20,20,20,21,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,12,14,10
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,08,08,08,08,08,08,08,08,08,08,08,08,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13
25,25,25,25,25,25,25,25,25,25,25,19,19,19,19,19,19,19,19,19,19,19,19,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33
33,33,33,26,26,26,26,26,26,26,26,26,26,26,26,21,21,21,21,21,21,21,21,21,21,21,21,01,01,01,01,01,01,01,01,12,12,12,12,12,12,12,12,12
20,39,39,39,39,39,39,39,39,39,39,39,39,31,31,31,31,31,31,31,31,32,33,34,20,39,39,39,39,39,39,39,39,39,39,39,39,31,31,31,31,31,31,31
